Private Entity,External URI,Confidence
-,http://www.wikidata.org/entity/Q180309,0.0
-Wan,http://www.wikidata.org/entity/Q17997378,1.0
0028,http://www.wikidata.org/entity/Q42455,0.0
0043,http://www.wikidata.org/entity/Q138824701,1.0
0362,http://www.wikidata.org/entity/Q3596486,1.0
1,http://www.wikidata.org/entity/Q199,1.0
10,http://www.wikidata.org/entity/Q23806,1.0
100,http://www.wikidata.org/entity/Q29940705,0.14
100000,http://www.wikidata.org/entity/Q720751,0.92
101,http://www.wikidata.org/entity/Q445822,1.0
10th,http://www.wikidata.org/entity/Q163948,0.19
10th-anniversary,http://www.wikidata.org/entity/Q16149340,0.94
115th,http://www.wikidata.org/entity/Q18740945,0.3
11 October 2019,http://www.wikidata.org/entity/Q57350621,0.77
12000,http://www.wikidata.org/entity/Q106920978,0.91
12 November 2019,http://www.wikidata.org/entity/Q57350793,0.79
13,http://www.wikidata.org/entity/Q186799,1.0
13 April 2002,http://www.wikidata.org/entity/Q69304363,0.74
140,http://www.wikidata.org/entity/Q719692,1.0
148,http://www.wikidata.org/entity/Q284807,1.0
14 February 2020,http://www.wikidata.org/entity/Q57396632,0.79
15,http://www.wikidata.org/entity/Q38701,1.0
15-year-old,http://www.wikidata.org/entity/Q23497932,0.67
156076,http://www.wikidata.org/entity/Q96842732,0.5
1572,http://www.wikidata.org/entity/Q12681500,1.0
15 March,http://www.wikidata.org/entity/Q2403,0.62
15 years later,http://www.wikidata.org/entity/Q72846886,1.0
16,http://www.wikidata.org/entity/Q40254,1.0
16 June 2011,http://www.wikidata.org/entity/Q22664365,0.72
16 May 2019,http://www.wikidata.org/entity/Q57350126,0.7
17 October 2017,http://www.wikidata.org/entity/Q37788017,0.77
17th,http://www.wikidata.org/entity/Q7016,0.5
18,http://www.wikidata.org/entity/Q38712,1.0
1932,http://www.wikidata.org/entity/Q18743,1.0
1938,http://www.wikidata.org/entity/Q18645,1.0
1969,http://www.wikidata.org/entity/Q2485,1.0
1972,http://www.wikidata.org/entity/Q2476,1.0
1981,http://www.wikidata.org/entity/Q2437,1.0
1983,http://www.wikidata.org/entity/Q2434,1.0
1984,http://www.wikidata.org/entity/Q2432,1.0
1986,http://www.wikidata.org/entity/Q2430,1.0
1994,http://www.wikidata.org/entity/Q2067,1.0
1995,http://www.wikidata.org/entity/Q2068,1.0
1996,http://www.wikidata.org/entity/Q2070,1.0
1997,http://www.wikidata.org/entity/Q2088,1.0
1998,http://www.wikidata.org/entity/Q2089,1.0
1999,http://www.wikidata.org/entity/Q2091,1.0
19 years,http://www.wikidata.org/entity/Q11186281,0.57
20,http://www.wikidata.org/entity/Q40292,1.0
2000,http://www.wikidata.org/entity/Q1985,1.0
2002,http://www.wikidata.org/entity/Q1987,1.0
2003,http://www.wikidata.org/entity/Q66048930,0.0
2004,http://www.wikidata.org/entity/Q2014,1.0
2005,http://www.wikidata.org/entity/Q2019,1.0
2006,http://www.wikidata.org/entity/Q2021,1.0
2007,http://www.wikidata.org/entity/Q2024,1.0
2008,http://www.wikidata.org/entity/Q2004,1.0
2009,http://www.wikidata.org/entity/Q1996,1.0
2010,http://www.wikidata.org/entity/Q1995,1.0
2011,http://www.wikidata.org/entity/Q1994,1.0
2012,http://www.wikidata.org/entity/Q28920124,0.0
2014,http://www.wikidata.org/entity/Q1999,1.0
2015,http://www.wikidata.org/entity/Q2002,1.0
2016,http://www.wikidata.org/entity/Q25245,1.0
2017,http://www.wikidata.org/entity/Q25290,1.0
2018,http://www.wikidata.org/entity/Q25291,1.0
2019,http://www.wikidata.org/entity/Q25274,1.0
2020,http://www.wikidata.org/entity/Q25337,1.0
2021,http://www.wikidata.org/entity/Q49628,1.0
2022,http://www.wikidata.org/entity/Q49625,1.0
2023,http://www.wikidata.org/entity/Q49622,1.0
2024,http://www.wikidata.org/entity/Q49619,1.0
2025,http://www.wikidata.org/entity/Q49616,1.0
2026,http://www.wikidata.org/entity/Q49613,1.0
20 November 2021,http://www.wikidata.org/entity/Q69306249,0.79
20 cm,http://www.wikidata.org/entity/Q2279138,0.26
20 years on,http://www.wikidata.org/entity/Q107055579,1.0
20th,http://www.wikidata.org/entity/Q434841,0.33
20th Century Fox,http://www.wikidata.org/entity/Q434841,0.78
211,http://www.wikidata.org/entity/Q837972,1.0
22,http://www.wikidata.org/entity/Q712488,1.0
224,http://www.wikidata.org/entity/Q899644,1.0
