entity,label,source
2010,DATE,https://en.wikipedia.org/wiki/Inception
Christopher Nolan,PERSON,https://en.wikipedia.org/wiki/Inception
Emma Thomas,PERSON,https://en.wikipedia.org/wiki/Inception
Leonardo DiCaprio,PERSON,https://en.wikipedia.org/wiki/Inception
Ken Watanabe,PERSON,https://en.wikipedia.org/wiki/Inception
Joseph Gordon-Levitt,PERSON,https://en.wikipedia.org/wiki/Inception
Marion Cotillard,PERSON,https://en.wikipedia.org/wiki/Inception
"Elliot Page,[a",PERSON,https://en.wikipedia.org/wiki/Inception
Tom Hardy,PERSON,https://en.wikipedia.org/wiki/Inception
Cillian Murphy,PERSON,https://en.wikipedia.org/wiki/Inception
Tom Berenger,PERSON,https://en.wikipedia.org/wiki/Inception
Dileep Rao,PERSON,https://en.wikipedia.org/wiki/Inception
Michael Caine,PERSON,https://en.wikipedia.org/wiki/Inception
2002,DATE,https://en.wikipedia.org/wiki/Inception
Nolan,PERSON,https://en.wikipedia.org/wiki/Inception
Warner Bros.,ORG,https://en.wikipedia.org/wiki/Inception
2005,DATE,https://en.wikipedia.org/wiki/Inception
2006,DATE,https://en.wikipedia.org/wiki/Inception
2008,DATE,https://en.wikipedia.org/wiki/Inception
six months,DATE,https://en.wikipedia.org/wiki/Inception
February 2009,DATE,https://en.wikipedia.org/wiki/Inception
Tokyo,GPE,https://en.wikipedia.org/wiki/Inception
June 19,DATE,https://en.wikipedia.org/wiki/Inception
Canada,GPE,https://en.wikipedia.org/wiki/Inception
November 22,DATE,https://en.wikipedia.org/wiki/Inception
Legendary,ORG,https://en.wikipedia.org/wiki/Inception
Inception,ORG,https://en.wikipedia.org/wiki/Inception
London,GPE,https://en.wikipedia.org/wiki/Inception
"July 8, 2010",DATE,https://en.wikipedia.org/wiki/Inception
IMAX,ORG,https://en.wikipedia.org/wiki/Inception
"July 16, 2010",DATE,https://en.wikipedia.org/wiki/Inception
"the 2010s,[5][6",DATE,https://en.wikipedia.org/wiki/Inception
the Library of Congress,ORG,https://en.wikipedia.org/wiki/Inception
United States,GPE,https://en.wikipedia.org/wiki/Inception
Cobb,PERSON,https://en.wikipedia.org/wiki/Inception
Arthur,PERSON,https://en.wikipedia.org/wiki/Inception
Saito,PERSON,https://en.wikipedia.org/wiki/Inception
Robert Fischer,PERSON,https://en.wikipedia.org/wiki/Inception
Saito,ORG,https://en.wikipedia.org/wiki/Inception
Maurice Fischer,PERSON,https://en.wikipedia.org/wiki/Inception
Eames,PERSON,https://en.wikipedia.org/wiki/Inception
Yusuf,PERSON,https://en.wikipedia.org/wiki/Inception
Ariadne,PERSON,https://en.wikipedia.org/wiki/Inception
Mal,PERSON,https://en.wikipedia.org/wiki/Inception
America,GPE,https://en.wikipedia.org/wiki/Inception
Robert,PERSON,https://en.wikipedia.org/wiki/Inception
Limbo,ORG,https://en.wikipedia.org/wiki/Inception
Peter Browning,PERSON,https://en.wikipedia.org/wiki/Inception
fifty years,DATE,https://en.wikipedia.org/wiki/Inception
U.S.,GPE,https://en.wikipedia.org/wiki/Inception
Browning,PERSON,https://en.wikipedia.org/wiki/Inception
Maurice,PERSON,https://en.wikipedia.org/wiki/Inception
Limbo,GPE,https://en.wikipedia.org/wiki/Inception
Los Angeles,GPE,https://en.wikipedia.org/wiki/Inception
Dom Cobb,PERSON,https://en.wikipedia.org/wiki/Inception
DiCaprio,PERSON,https://en.wikipedia.org/wiki/Inception
Brad Pitt,PERSON,https://en.wikipedia.org/wiki/Inception
Will Smith,PERSON,https://en.wikipedia.org/wiki/Inception
The Hollywood Reporter.[8,ORG,https://en.wikipedia.org/wiki/Inception
Smith,PERSON,https://en.wikipedia.org/wiki/Inception
Watanabe,PERSON,https://en.wikipedia.org/wiki/Inception
Gordon-Levitt,PERSON,https://en.wikipedia.org/wiki/Inception
James Franco,PERSON,https://en.wikipedia.org/wiki/Inception
Cotillard,PERSON,https://en.wikipedia.org/wiki/Inception
